time,gFx,gFy,gFz,TgF
0.003000,0.3455,0.5001,0.7161,0.939
0.004000,0.3467,0.5008,0.7242,0.946
0.004000,0.3501,0.5013,0.7303,0.952
0.005000,0.3531,0.4993,0.7384,0.959
0.005000,0.3587,0.4983,0.7445,0.965
0.006000,0.3614,0.4971,0.7530,0.972
0.015000,0.3633,0.4954,0.7611,0.978
0.015000,0.3655,0.4947,0.7694,0.985
0.016000,0.3675,0.4920,0.7764,0.990
0.016000,0.3675,0.4905,0.7845,0.996
0.019000,0.3680,0.4903,0.7938,1.003
0.020000,0.3667,0.4874,0.8048,1.010
0.032000,0.3648,0.4874,0.8145,1.017
0.033000,0.3626,0.4856,0.8228,1.022
0.033000,0.3619,0.4839,0.8304,1.027
0.034000,0.3579,0.4827,0.8350,1.029
0.034000,0.3550,0.4822,0.8360,1.028
0.035000,0.3501,0.4810,0.8375,1.027
0.035000,0.3457,0.4810,0.8375,1.026
0.041000,0.3396,0.4793,0.8338,1.020
0.042000,0.3367,0.4781,0.8289,1.014
0.042000,0.3318,0.4759,0.8255,1.009
0.045000,0.3318,0.4742,0.8167,1.001
0.048000,0.3286,0.4742,0.8072,0.992
0.050000,0.3277,0.4732,0.7994,0.985
0.053000,0.3262,0.4739,0.7909,0.978
0.058000,0.3262,0.4732,0.7840,0.972
0.059000,0.3250,0.4732,0.7789,0.968
0.059000,0.3240,0.4729,0.7752,0.964
0.062000,0.3225,0.4727,0.7706,0.960
0.064000,0.3196,0.4732,0.7650,0.955
0.066000,0.3196,0.4754,0.7608,0.952
0.069000,0.3181,0.4759,0.7576,0.950
0.071000,0.3160,0.4761,0.7552,0.947
0.077000,0.3135,0.4766,0.7542,0.946
0.078000,0.3133,0.4749,0.7515,0.943
0.079000,0.3140,0.4754,0.7479,0.940
0.081000,0.3152,0.4756,0.7479,0.941
0.083000,0.3140,0.4776,0.7457,0.940
0.088000,0.3157,0.4783,0.7447,0.940
0.088000,0.3169,0.4788,0.7413,0.938
0.093000,0.3160,0.4795,0.7396,0.936
0.094000,0.3196,0.4800,0.7366,0.936
0.095000,0.3228,0.4795,0.7354,0.935
0.099000,0.3255,0.4798,0.7330,0.935
0.100000,0.3267,0.4805,0.7291,0.932
0.102000,0.3291,0.4800,0.7271,0.931
0.104000,0.3294,0.4795,0.7261,0.930
0.117000,0.3328,0.4773,0.7237,0.929
0.118000,0.3323,0.4778,0.7191,0.925
0.119000,0.3345,0.4761,0.7166,0.923
0.120000,0.3355,0.4756,0.7142,0.921
0.120000,0.3365,0.4729,0.7137,0.920
0.121000,0.3367,0.4712,0.7127,0.918
0.122000,0.3335,0.4705,0.7115,0.916
0.125000,0.3345,0.4666,0.7120,0.915
0.126000,0.3357,0.4668,0.7117,0.915
0.129000,0.3352,0.4664,0.7122,0.915
0.133000,0.3330,0.4632,0.7130,0.913
