time,gFx,gFy,gFz,TgF
0.007000,0.1878,-0.3123,0.5787,0.684
0.007000,0.1885,-0.3142,0.6224,0.722
0.008000,0.1895,-0.3179,0.6678,0.763
0.008000,0.1904,-0.3218,0.7144,0.806
0.009000,0.1892,-0.3257,0.7535,0.842
0.009000,0.1875,-0.3274,0.7930,0.878
0.009000,0.1856,-0.3313,0.8311,0.914
0.010000,0.1853,-0.3355,0.8680,0.949
0.010000,0.1812,-0.3409,0.9032,0.982
0.010000,0.1778,-0.3450,0.9315,1.009
0.011000,0.1724,-0.3477,0.9601,1.036
0.011000,0.1680,-0.3528,0.9830,1.058
0.011000,0.1621,-0.3565,0.9942,1.069
0.012000,0.1568,-0.3631,1.0101,1.085
0.012000,0.1526,-0.3670,1.0204,1.095
0.012000,0.1506,-0.3719,1.0274,1.103
0.013000,0.1514,-0.3777,1.0353,1.112
0.013000,0.1499,-0.3814,1.0421,1.120
0.013000,0.1487,-0.3863,1.0450,1.124
0.014000,0.1492,-0.3890,1.0511,1.131
0.014000,0.1502,-0.3899,1.0631,1.142
0.018000,0.1519,-0.3926,1.0799,1.159
0.022000,0.1553,-0.3929,1.1007,1.179
0.023000,0.1572,-0.3931,1.1190,1.196
0.024000,0.1568,-0.3921,1.1273,1.204
0.026000,0.1580,-0.3916,1.1295,1.206
0.044000,0.1580,-0.3904,1.1261,1.202
0.045000,0.1572,-0.3863,1.1188,1.194
0.046000,0.1602,-0.3875,1.1078,1.184
0.046000,0.1643,-0.3858,1.0929,1.171
0.046000,0.1675,-0.3855,1.0755,1.155
0.047000,0.1695,-0.3850,1.0548,1.136
0.047000,0.1707,-0.3829,1.0328,1.115
0.048000,0.1731,-0.3824,1.0096,1.093
0.048000,0.1756,-0.3816,0.9906,1.076
0.049000,0.1790,-0.3797,0.9635,1.051
0.060000,0.1829,-0.3741,0.9354,1.024
0.060000,0.1890,-0.3687,0.9093,0.999
0.061000,0.1948,-0.3616,0.8819,0.973
0.061000,0.1970,-0.3553,0.8575,0.949
0.061000,0.1997,-0.3472,0.8336,0.925
0.064000,0.2031,-0.3413,0.8131,0.905
0.065000,0.2063,-0.3343,0.7957,0.887
0.067000,0.2114,-0.3306,0.7806,0.874
0.074000,0.2183,-0.3233,0.7679,0.861
0.075000,0.2222,-0.3162,0.7581,0.851
0.075000,0.2266,-0.3116,0.7511,0.844
0.077000,0.2334,-0.3074,0.7464,0.840
0.079000,0.2400,-0.3052,0.7447,0.840
0.081000,0.2447,-0.3018,0.7469,0.842
0.084000,0.2495,-0.2981,0.7498,0.845
0.087000,0.2532,-0.2969,0.7547,0.850
0.089000,0.2530,-0.2959,0.7594,0.853
0.091000,0.2520,-0.2952,0.7659,0.859
0.093000,0.2510,-0.2945,0.7745,0.866
0.096000,0.2481,-0.2952,0.7791,0.869
0.098000,0.2459,-0.2979,0.7865,0.876
0.100000,0.2417,-0.2974,0.7940,0.882
0.109000,0.2371,-0.2962,0.8009,0.886
0.110000,0.2310,-0.2974,0.8114,0.894
0.110000,0.2273,-0.2969,0.8231,0.904
0.110000,0.2227,-0.2942,0.8346,0.912
0.112000,0.2212,-0.2920,0.8495,0.925
0.115000,0.2207,-0.2886,0.8614,0.935
0.117000,0.2239,-0.2915,0.8726,0.947
0.124000,0.2266,-0.2957,0.8812,0.957
0.124000,0.2307,-0.2989,0.8846,0.962
0.125000,0.2332,-0.3018,0.8846,0.963
0.128000,0.2342,-0.3098,0.8827,0.964
0.129000,0.2322,-0.3179,0.8788,0.963
0.131000,0.2300,-0.3247,0.8736,0.960
0.134000,0.2283,-0.3311,0.8700,0.958
0.137000,0.2249,-0.3365,0.8670,0.957
0.139000,0.2234,-0.3406,0.8658,0.957
0.143000,0.2222,-0.3428,0.8707,0.962
0.145000,0.2200,-0.3460,0.8766,0.968
0.146000,0.2158,-0.3496,0.8829,0.974
0.148000,0.2100,-0.3545,0.8934,0.984
0.152000,0.2046,-0.3599,0.9068,0.997
0.152000,0.1985,-0.3650,0.9210,1.010
0.159000,0.1895,-0.3662,0.9403,1.027
0.160000,0.1836,-0.3667,0.9591,1.043
0.160000,0.1734,-0.3623,0.9730,1.053
0.162000,0.1619,-0.3589,0.9750,1.051
0.165000,0.1465,-0.3577,0.9674,1.042
0.167000,0.1358,-0.3592,0.9530,1.027
0.170000,0.1284,-0.3636,0.9330,1.009
0.176000,0.1235,-0.3658,0.9129,0.991
0.190000,0.1270,-0.3697,0.9000,0.981
0.191000,0.1340,-0.3741,0.8893,0.974
0.192000,0.1458,-0.3763,0.8831,0.971
0.192000,0.1599,-0.3785,0.8790,0.970
0.193000,0.1734,-0.3804,0.8814,0.976
0.193000,0.1858,-0.3789,0.8849,0.980
0.194000,0.1966,-0.3804,0.8990,0.996
0.197000,0.2083,-0.3775,0.9193,1.015
0.198000,0.2156,-0.3716,0.9435,1.037
0.204000,0.2117,-0.3528,0.9654,1.049
0.204000,0.2036,-0.3345,0.9823,1.057
0.206000,0.1878,-0.3098,1.0028,1.066
0.223000,0.1763,-0.2854,1.0296,1.083
0.224000,0.1712,-0.2783,1.0362,1.087
0.225000,0.1729,-0.2813,1.0211,1.073
0.226000,0.1743,-0.2864,0.9950,1.050
0.227000,0.1729,-0.2925,0.9740,1.032
0.230000,0.1716,-0.2984,0.9476,1.008
0.232000,0.1734,-0.3035,0.9281,0.992
0.233000,0.1821,-0.3123,0.9134,0.982
0.234000,0.1992,-0.3250,0.8993,0.977
0.237000,0.2163,-0.3374,0.8907,0.977
0.237000,0.2346,-0.3509,0.8863,0.982
0.238000,0.2542,-0.3604,0.8841,0.988
0.239000,0.2659,-0.3650,0.8819,0.991
0.240000,0.2718,-0.3677,0.8802,0.992
0.240000,0.2469,-0.3479,0.8768,0.975
0.241000,0.2039,-0.3208,0.8795,0.958
0.241000,0.1834,-0.3064,0.8895,0.959
0.242000,0.1868,-0.3003,0.9100,0.976
0.248000,0.2078,-0.3042,0.9425,1.012
0.248000,0.2349,-0.3150,0.9845,1.060
0.249000,0.2583,-0.3264,1.0211,1.103
0.251000,0.2718,-0.3382,1.0624,1.148
0.253000,0.2771,-0.3516,1.0963,1.184
0.257000,0.2788,-0.3660,1.1210,1.212
0.258000,0.2783,-0.3819,1.1339,1.228
0.261000,0.2783,-0.3977,1.1393,1.238
0.263000,0.2798,-0.4141,1.1341,1.239
0.266000,0.2793,-0.4297,1.1254,1.237
0.267000,0.2781,-0.4434,1.1117,1.229
0.271000,0.2801,-0.4593,1.1051,1.229
0.273000,0.2823,-0.4781,1.1056,1.237
0.275000,0.2864,-0.4957,1.1058,1.245
0.277000,0.2910,-0.5132,1.1095,1.257
0.280000,0.2962,-0.5313,1.1080,1.264
0.282000,0.2991,-0.5506,1.1041,1.270
0.284000,0.3008,-0.5660,1.0980,1.271
0.287000,0.3013,-0.5792,1.0878,1.269
0.289000,0.2979,-0.5899,1.0741,1.261
0.292000,0.2881,-0.5994,1.0560,1.248
0.295000,0.2774,-0.6033,1.0399,1.234
0.297000,0.2617,-0.6036,1.0223,1.216
0.299000,0.2420,-0.6002,1.0108,1.200
0.301000,0.2207,-0.5904,1.0016,1.183
0.313000,0.1997,-0.5762,0.9925,1.165
0.314000,0.1748,-0.5550,0.9898,1.148
0.314000,0.1502,-0.5272,0.9818,1.124
0.315000,0.1257,-0.4930,0.9752,1.100
0.315000,0.1050,-0.4554,0.9671,1.074
0.316000,0.0840,-0.4124,0.9588,1.047
0.317000,0.0628,-0.3694,0.9491,1.020
0.322000,0.0469,-0.3247,0.9283,0.985
0.325000,0.0376,-0.2849,0.9012,0.946
0.325000,0.0308,-0.2473,0.8678,0.903
0.329000,0.0247,-0.2161,0.8311,0.859
0.330000,0.0212,-0.1873,0.7918,0.814
0.332000,0.0176,-0.1643,0.7596,0.777
0.334000,0.0176,-0.1441,0.7425,0.757
0.339000,0.0271,-0.1275,0.7345,0.746
0.340000,0.0415,-0.1170,0.7418,0.752
0.341000,0.0564,-0.1060,0.7530,0.763
0.344000,0.0720,-0.0955,0.7725,0.782
0.346000,0.0813,-0.0864,0.7930,0.802
0.349000,0.0850,-0.0779,0.8131,0.821
0.351000,0.0842,-0.0703,0.8358,0.843
0.354000,0.0772,-0.0635,0.8563,0.862
0.356000,0.0635,-0.0601,0.8744,0.879
0.358000,0.0493,-0.0564,0.8861,0.889
0.360000,0.0337,-0.0571,0.8939,0.896
0.363000,0.0146,-0.0640,0.8963,0.899
0.365000,0.0017,-0.0708,0.8958,0.899
0.367000,-0.0117,-0.0801,0.8907,0.894
0.371000,-0.0230,-0.0913,0.8851,0.890
0.373000,-0.0288,-0.1069,0.8792,0.886
